time,r,p,y,p_rate,q_rate,r_rate,r_d,p_d,y_d,ail,ele,rud,thr
1.77271e+09,0.302408,-0.0327621,1.01912,-0.00570349,-0.0619905,-0.184182,0.302812,-0.0311692,1.02754,-0.44,0.006,0.228,0.496
1.77271e+09,0.302408,-0.0327621,1.01912,-0.00570349,-0.0619905,-0.184182,0.302812,-0.0311692,1.02754,-0.44,0.006,0.228,0.496
1.77271e+09,0.302404,-0.0326915,1.01143,-0.00430952,-0.0499355,-0.186984,0.302893,-0.0310494,1.00912,-0.44,0.006,0.224,0.496
1.77271e+09,0.302479,-0.0326413,1.00373,-0.00314671,-0.0570457,-0.188095,0.302893,-0.0310494,1.00912,-0.44,0.006,0.224,0.496
1.77271e+09,0.302479,-0.0326413,1.00373,-0.00314671,-0.0570457,-0.188095,0.302893,-0.0310494,1.00912,-0.44,0.006,0.224,0.496
1.77271e+09,0.302451,-0.0326667,0.999036,-0.00604311,-0.0611948,-0.186938,0.302893,-0.0310494,1.00912,-0.44,0.006,0.224,0.496
1.77271e+09,0.302451,-0.0326667,0.999036,-0.00604311,-0.0611948,-0.186938,0.302893,-0.0310494,1.00912,-0.44,0.006,0.224,0.496
1.77271e+09,0.302477,-0.0326976,0.99134,-0.0120767,-0.055463,-0.187701,0.302778,-0.0309422,0.989024,-0.44,0.006,0.23,0.496
1.77271e+09,0.302524,-0.0326006,0.984474,0.000544742,-0.057005,-0.176143,0.302778,-0.0309422,0.989024,-0.44,0.006,0.23,0.496
1.77271e+09,0.302524,-0.0326006,0.984474,0.000544742,-0.057005,-0.176143,0.302778,-0.0309422,0.989024,-0.44,0.006,0.23,0.496
1.77271e+09,0.302529,-0.0326149,0.979916,-0.00998688,-0.0575914,-0.184226,0.302778,-0.0309422,0.989024,-0.44,0.006,0.23,0.496
1.77271e+09,0.302529,-0.0326149,0.979916,-0.00998688,-0.0575914,-0.184226,0.302778,-0.0309422,0.989024,-0.44,0.006,0.23,0.496
1.77271e+09,0.302469,-0.0324891,0.972179,-0.00690961,-0.0537871,-0.186381,0.302888,-0.0308498,0.970666,-0.44,0.006,0.226,0.496
1.77271e+09,0.302472,-0.0325654,0.965279,-0.00134554,-0.0641018,-0.185587,0.302888,-0.0308498,0.970666,-0.44,0.006,0.226,0.496
1.77271e+09,0.302472,-0.0325654,0.965279,-0.00134554,-0.0641018,-0.185587,0.302888,-0.0308498,0.970666,-0.44,0.006,0.226,0.496
1.77271e+09,0.302538,-0.0325305,0.960704,-0.00330311,-0.0519576,-0.181393,0.302888,-0.0308498,0.970666,-0.44,0.006,0.226,0.496
1.77271e+09,0.302538,-0.0325305,0.960704,-0.00330311,-0.0519576,-0.181393,0.302888,-0.0308498,0.970666,-0.44,0.006,0.226,0.496
1.77271e+09,0.302529,-0.0326257,0.95384,-0.00679511,-0.0587516,-0.181222,0.302858,-0.030803,0.95084,-0.44,0.006,0.228,0.496
1.77271e+09,0.302571,-0.0324844,0.94623,-0.00965801,-0.0521714,-0.178506,0.302858,-0.030803,0.95084,-0.44,0.006,0.228,0.496
1.77271e+09,0.302571,-0.0324844,0.94623,-0.00965801,-0.0521714,-0.178506,0.302858,-0.030803,0.95084,-0.44,0.006,0.228,0.496
1.77271e+09,0.302593,-0.0324059,0.942462,-0.00306569,-0.0527893,-0.184591,0.302858,-0.030803,0.95084,-0.44,0.006,0.228,0.496
1.77271e+09,0.302593,-0.0324059,0.942462,-0.00306569,-0.0527893,-0.184591,0.302858,-0.030803,0.95084,-0.44,0.006,0.228,0.496
1.77271e+09,0.302667,-0.0322745,0.934748,-0.00649723,-0.060662,-0.179319,0.30292,-0.0308052,0.932449,-0.44,0.008,0.226,0.495
1.77271e+09,0.302788,-0.0323475,0.927059,-0.00905023,-0.0605362,-0.183218,0.30292,-0.0308052,0.932449,-0.44,0.008,0.226,0.495
1.77271e+09,0.302788,-0.0323475,0.927059,-0.00905023,-0.0605362,-0.183218,0.30292,-0.0308052,0.932449,-0.44,0.008,0.226,0.495
1.77271e+09,0.302704,-0.0324154,0.923215,-0.0102629,-0.0591314,-0.182452,0.30292,-0.0308052,0.932449,-0.44,0.008,0.226,0.495
1.77271e+09,0.302704,-0.0324154,0.923215,-0.0102629,-0.0591314,-0.182452,0.30292,-0.0308052,0.932449,-0.44,0.008,0.226,0.495
1.77271e+09,0.302641,-0.0323983,0.915398,-0.00992013,-0.058259,-0.18126,0.303131,-0.0306422,0.912449,-0.44,0.008,0.22,0.495
1.77271e+09,0.302686,-0.0324467,0.907851,-0.00329807,-0.0591263,-0.184395,0.303131,-0.0306422,0.912449,-0.44,0.008,0.22,0.495
1.77271e+09,0.302686,-0.0324467,0.907851,-0.00329807,-0.0591263,-0.184395,0.303131,-0.0306422,0.912449,-0.44,0.008,0.22,0.495
1.77271e+09,0.30266,-0.0325109,0.904037,-0.00568982,-0.056611,-0.182185,0.303131,-0.0306422,0.912449,-0.44,0.008,0.22,0.495
1.77271e+09,0.30266,-0.0325109,0.904037,-0.00568982,-0.056611,-0.182185,0.303131,-0.0306422,0.912449,-0.44,0.008,0.22,0.495
1.77271e+09,0.302776,-0.0323829,0.896369,-0.00428788,-0.0544938,-0.179799,0.303434,-0.0306923,0.894069,-0.44,0.006,0.226,0.496
1.77271e+09,0.302846,-0.0322281,0.888726,-0.00401426,-0.0472105,-0.187863,0.303434,-0.0306923,0.894069,-0.44,0.006,0.226,0.496
1.77271e+09,0.302846,-0.0322281,0.888726,-0.00401426,-0.0472105,-0.187863,0.303434,-0.0306923,0.894069,-0.44,0.006,0.226,0.496
1.77271e+09,0.30285,-0.0320448,0.884881,-0.00628234,-0.052556,-0.181975,0.303434,-0.0306923,0.894069,-0.44,0.006,0.226,0.496
1.77271e+09,0.30285,-0.0320448,0.884881,-0.00628234,-0.052556,-0.181975,0.303434,-0.0306923,0.894069,-0.44,0.006,0.226,0.496
1.77271e+09,0.302855,-0.0320722,0.87729,-0.00384261,-0.0582171,-0.182185,0.303677,-0.0308326,0.874248,-0.44,0.006,0.232,0.496
1.77271e+09,0.302907,-0.031979,0.869682,-0.00388746,-0.0571695,-0.182117,0.303677,-0.0308326,0.874248,-0.44,0.006,0.232,0.496
1.77271e+09,0.302907,-0.031979,0.869682,-0.00388746,-0.0571695,-0.182117,0.303677,-0.0308326,0.874248,-0.44,0.006,0.232,0.496
1.77271e+09,0.302949,-0.0320051,0.865822,-0.00210368,-0.0618124,-0.183788,0.303677,-0.0308326,0.874248,-0.44,0.006,0.232,0.496
1.77271e+09,0.302949,-0.0320051,0.865822,-0.00210368,-0.0618124,-0.183788,0.303677,-0.0308326,0.874248,-0.44,0.006,0.232,0.496
1.77271e+09,0.303004,-0.0320148,0.858093,-0.00153618,-0.0612773,-0.184315,0.303835,-0.0307129,0.855795,-0.44,0.008,0.228,0.495
1.77271e+09,0.303154,-0.0320364,0.849599,-0.00535482,-0.0583369,-0.187367,0.303835,-0.0307129,0.855795,-0.44,0.008,0.228,0.495
1.77271e+09,0.303154,-0.0320364,0.849599,-0.00535482,-0.0583369,-0.187367,0.303835,-0.0307129,0.855795,-0.44,0.008,0.228,0.495
1.77271e+09,0.303188,-0.0321006,0.84651,-0.00869027,-0.0625442,-0.185304,0.303835,-0.0307129,0.855795,-0.44,0.008,0.228,0.495
1.77271e+09,0.303188,-0.0321006,0.84651,-0.00869027,-0.0625442,-0.185304,0.303835,-0.0307129,0.855795,-0.44,0.008,0.228,0.495
1.77271e+09,0.303196,-0.0322077,0.838713,-0.0027208,-0.0545601,-0.184516,0.303886,-0.030452,0.835626,-0.44,0.006,0.23,0.496
1.77271e+09,0.303203,-0.0321931,0.831021,-0.00789396,-0.0592611,-0.184894,0.303886,-0.030452,0.835626,-0.44,0.006,0.23,0.496
1.77271e+09,0.303203,-0.0321931,0.831021,-0.00789396,-0.0592611,-0.184894,0.303886,-0.030452,0.835626,-0.44,0.006,0.23,0.496
1.77271e+09,0.303227,-0.0322234,0.82713,-0.00386437,-0.0550096,-0.185918,0.303886,-0.030452,0.835626,-0.44,0.006,0.23,0.496
